tag,patterns,responses,content
L36434, Did you order our houses burned down?, Not that day. I am guilty of many things but that was Mr. Thaddeus Rains and Parker that day.,
L36433, That's the idea., Did you order our houses burned down?,
L36432, So I'll get a fair trial in front of a jury bought off by Thaddeus Rains?, That's the idea.,
L36431, Oh it's a similar room. But the hotel is in Washington D.C. You're not going to get a fair trial down here in front of a jury of Jesse James sympathizers., So I'll get a fair trial in front of a jury bought off by Thaddeus Rains?,
L36430, But I like the presidential suite., Oh it's a similar room. But the hotel is in Washington D.C. You're not going to get a fair trial down here in front of a jury of Jesse James sympathizers.,
L36429, We're moving you tomorrow., But I like the presidential suite.,
L36383, Communion., We're moving you tomorrow.,
L36382, Right here in church?, Communion.,
L36381, Now let's have a drink., Right here in church?,
L36380, Who needs to repair a leaky church roof., Now let's have a drink.,
L36379, Thank you., Who needs to repair a leaky church roof.,
L36378, Discretion? Sir I am a man of the cloth., Thank you.,
L36377, I could have lied I suppose but I want this marriage to be legal. I just want you to know I'm trying to start a new life here. I'm depending on your..., Discretion? Sir I am a man of the cloth.,
L36376," The Lord is remarkably tolerant of the charitable.  ""Jesse Woodson James."" Jesse James? The Jesse James?", I could have lied I suppose but I want this marriage to be legal. I just want you to know I'm trying to start a new life here. I'm depending on your...,
L36375, You don't think God'll mind do you?," The Lord is remarkably tolerant of the charitable.  ""Jesse Woodson James."" Jesse James? The Jesse James?",
L36374, This is unusual. Most of our marriages are members of the congregation., You don't think God'll mind do you?,
L36339, You're gonna tell her when you're resting up in bed with her Jimmy., This is unusual. Most of our marriages are members of the congregation.,
L36338, Jesse you explain to Lyla. My girl you know from that time..., You're gonna tell her when you're resting up in bed with her Jimmy.,
L36337, This time we'll make an exception., Jesse you explain to Lyla. My girl you know from that time...,
L36336, ... too young for whisky..., This time we'll make an exception.,
L36310, It's his money.  He's putting up the payroll out of his own fortune. You do want to hurt Thaddeus Rains don't you Jesse?, ... too young for whisky...,
L36309, What about that Rock Island bastard?, It's his money.  He's putting up the payroll out of his own fortune. You do want to hurt Thaddeus Rains don't you Jesse?,
L36227, You do that., What about that Rock Island bastard?,
L36226, Tell you something else.  I can't drink that good neither. I'm going to go outside and throw up., You do that.,
L36225, I swear., Tell you something else.  I can't drink that good neither. I'm going to go outside and throw up.,
L36224, You and Frank and Cole and even Bob get all these girls because you're good looking and famous. You don't have to pay. They just look at me like I'm the baby brother.  Don't tell anyone okay Jesse?, I swear.,
L36223, I think so., You and Frank and Cole and even Bob get all these girls because you're good looking and famous. You don't have to pay. They just look at me like I'm the baby brother.  Don't tell anyone okay Jesse?,
L36222, Hell yeah! I been with...  Uh not exactly. It's just I don't want to get one of these paid ladies you know?, I think so.,
L36221, You been with a girl ever?, Hell yeah! I been with...  Uh not exactly. It's just I don't want to get one of these paid ladies you know?,
L36220, Well not exactly., You been with a girl ever?,
L36219, Tonight? Why I'm just getting ready to turn on the Younger charm., Well not exactly.,
L36218, Jim you been with a girl yet?, Tonight? Why I'm just getting ready to turn on the Younger charm.,
L36217, I was always jealous Web Mimms got to go off and fight with you and Cole. Now it's my turn., Jim you been with a girl yet?,
L36216, I guess so., I was always jealous Web Mimms got to go off and fight with you and Cole. Now it's my turn.,
L36215, Not too young to shoot a man not to young to drink., I guess so.,
L36214, Yeah. Hey are you drinking whisky? You're too young to be drinking whisky., Not too young to shoot a man not to young to drink.,
L36213, You okay Jesse?, Yeah. Hey are you drinking whisky? You're too young to be drinking whisky.,
L35968, No., You okay Jesse?,
L35967, I like that., No.,
L35848, And the same age Web was. No., I like that.,
L35847, I'm the same age you were when you went off to war., And the same age Web was. No.,
L35846, And you're too young., I'm the same age you were when you went off to war.,
L36245, Don't talk about it much though., And you're too young.,
L36244, Really?, Don't talk about it much though.,
L36243, Devereux. My brother Cole dated a European girl once., Really?,
L36242, That is so gentlemanly of you., Devereux. My brother Cole dated a European girl once.,
L36241, Why don't we get a bottle of sherry to sip while we talk?, That is so gentlemanly of you.,
L36240, Could we go upstairs and talk? It's so loud down here., Why don't we get a bottle of sherry to sip while we talk?,
L36239, Gosh that's a pretty name. Buy you a drink?, Could we go upstairs and talk? It's so loud down here.,
L36238, Lyla Devereux., Gosh that's a pretty name. Buy you a drink?,
L36237, Thank you Miss -- ?, Lyla Devereux.,
L36236, I just though you were awful cute., Thank you Miss -- ?,
L36235, Not at all., I just though you were awful cute.,
L36234, I hope I'm not being too forward., Not at all.,
L36233, Really?, I hope I'm not being too forward.,
L36232, Yes but just so I could find out who you were., Really?,
L36231, Oh you were talking to Jesse., Yes but just so I could find out who you were.,
L36230, I hope you don't mind Jesse James told me your name., Oh you were talking to Jesse.,
L36229, Why yeah., I hope you don't mind Jesse James told me your name.,
L36496, Move you fools!, Why yeah.,
L36495, There's only four of them..., Move you fools!,
L36158, They donate money to farmers to churches. Rumor has it they gave the sharecroppers of Maddox so much money they were able to build a school., There's only four of them...,
L36157, How can that be?, They donate money to farmers to churches. Rumor has it they gave the sharecroppers of Maddox so much money they were able to build a school.,
L36090, By burning down their homes?, How can that be?,
L36089, They had to be dealt with!, By burning down their homes?,
L36088, My professional opinion is that you have managed to piss off the wrong bunch of farm boys this time., They had to be dealt with!,
L35858, It's not my job to relax. I've put men facing out both ways down Main Street so nobody can ride in shooting. I've got a sharpshooter up on the water tower just in case., My professional opinion is that you have managed to piss off the wrong bunch of farm boys this time.,
L35857, Relax Alan. The Army has this all in hand. And Mr. Thaddeus Rains will be very pleased with this news. Nothing like a hanging to motivate the populace to relocate., It's not my job to relax. I've put men facing out both ways down Main Street so nobody can ride in shooting. I've got a sharpshooter up on the water tower just in case.,
L35795, I'm doing you folks a favor --, Relax Alan. The Army has this all in hand. And Mr. Thaddeus Rains will be very pleased with this news. Nothing like a hanging to motivate the populace to relocate.,
L35794, Well this land is about to be condemned., I'm doing you folks a favor --,
L36462, Not such a menace now is he Pinkerton?, Well this land is about to be condemned.,
L36461, How did you know?, Not such a menace now is he Pinkerton?,
L36459, I remember you., How did you know?,
L36458, This is him., I remember you.,
L36253, Oh that. I'll let Jenkins explain., This is him.,
L36252, That., Oh that. I'll let Jenkins explain.,
L36251, What sir?, That.,
L36250, What is that?, What sir?,
L36249, Sir?, What is that?,
L36248, Parker., Sir?,
L36247, I look forward to seeing it., Parker.,
L36246, The final route for the railroad is complete., I look forward to seeing it.,
L36160, We should go burn that school to the ground sir!, The final route for the railroad is complete.,
